monastery,location,wikidata_entry
Johanniterkommende Ober-Mossau,Point(8.927329825 49.67470882),http://www.wikidata.org/entity/Q107761964
"Johanniterhaus St. Johann, Speyer",Point(8.432918 49.319521),http://www.wikidata.org/entity/Q107761923
Johanniterkloster Anzefahr (nur geplant),Point(8.86477143 50.84499047),http://www.wikidata.org/entity/Q107761929
"Johanniterkommende Kieringen, Jülich",Point(6.355 50.9205),http://www.wikidata.org/entity/Q107761939
Johanniterkommende Grebenau,Point(9.473838966 50.74304622),http://www.wikidata.org/entity/Q107761936
Johanniterniederlassung Wesel,Point(6.611306077 51.658201209),http://www.wikidata.org/entity/Q107762036
Johanniterkommende Mosbach,Point(9.029196664 49.89186462),http://www.wikidata.org/entity/Q107761952
"Johanniterhof der Rüdigheimer Komturei, Gelnhausen",Point(9.19072561 50.20410052),http://www.wikidata.org/entity/Q107761928
Johanniterkommende Kleinerdlingen (Nördlingen),Point(10.473985 48.836026),http://www.wikidata.org/entity/Q107761942
Johanniterkommende Solingen-Burg,Point(7.152778 51.137608),http://www.wikidata.org/entity/Q107761976
"Templer-, später Johanniterniederlassung Roth an der Our",Point(6.222204 49.925861),http://www.wikidata.org/entity/Q107762999
"Templerkommende, dann Johanniterkommende Hönningen",Point(7.305030721 50.516581738),http://www.wikidata.org/entity/Q107763031
"Templerkommende, dann Johanniterkommende Moosbrunn",Point(11.1892 48.8495),http://www.wikidata.org/entity/Q107763038
"Johanniterkommende St. Johann und Cordula, Köln",Point(6.96091108 50.945798069),http://www.wikidata.org/entity/Q97382243
Johanniterkommende Lychen,Point(13.315655 53.208969),http://www.wikidata.org/entity/Q97382347
