monastery,geometry,foundingYear,wikidata_entry
Schottenkloster Würzburg (Benediktiner),Point(9.92047 49.7957),1134,http://www.wikidata.org/entity/Q2249213
"Dominikanerkloster St. Katharina, Bremen",Point(8.80861 53.0779),1225,http://www.wikidata.org/entity/Q2316350
Ursulinenkloster Landshut,Point(12.155043528 48.53798263),1668,http://www.wikidata.org/entity/Q570400
Zisterzienserabtei Lehnin,Point(12.743333333 52.320277777),1180,http://www.wikidata.org/entity/Q561860
Kanonissenstift Essen,Point(7.013611 51.455833),801,http://www.wikidata.org/entity/Q564155
Benediktinerkloster Großcomburg (später Kollegiatstift),Point(9.749722 49.100278),1001,http://www.wikidata.org/entity/Q561890
Benediktinerkloster Großcomburg (später Kollegiatstift),Point(9.749722 49.100278),1078,http://www.wikidata.org/entity/Q561890
Kloster Limburg,Point(8.14639 49.4564),1001,http://www.wikidata.org/entity/Q572384
Stift Fischbeck,Point(9.29722 52.1419),901,http://www.wikidata.org/entity/Q599015
Ursulinenkloster Landshut,Point(12.155079 48.537743),1668,http://www.wikidata.org/entity/Q570400
Schloss Fürstenried,Point(11.485666666 48.094361111),1717,http://www.wikidata.org/entity/Q567568
Agnetenkloster Würzburg,Point(9.93467 49.7905),1250,http://www.wikidata.org/entity/Q394846
Benediktinerabtei Brauweiler,Point(6.782778 50.961111),1001,http://www.wikidata.org/entity/Q333840
Zisterzienserkloster Marienstatt,Point(7.803055555 50.685),1212,http://www.wikidata.org/entity/Q334038
"Benediktinerabtei St. Heribert, Deutz",Point(6.9697 50.938061111),1001,http://www.wikidata.org/entity/Q333893
Benediktinerabtei Neresheim,Point(10.3437 48.7559),1095,http://www.wikidata.org/entity/Q334064
Augustinerchorfrauenstift Andernach,Point(7.40673 50.4323),750,http://www.wikidata.org/entity/Q334309
Augustinereremitenkloster Erfurt,Point(11.03 50.9814),1201,http://www.wikidata.org/entity/Q420158
"Kanonissenstift Heeslingen, später Benediktinerinnenabtei Zeven",Point(9.280726 53.2970051),1141,http://www.wikidata.org/entity/Q426895
Benediktinerabtei Weingarten,Point(9.64448 47.80885),1274,http://www.wikidata.org/entity/Q334353
Benediktinerabtei Laach,Point(7.252098 50.402261),1001,http://www.wikidata.org/entity/Q334032
Kloster Walkenried,Point(10.619166666 51.583055555),1129,http://www.wikidata.org/entity/Q428395
Kloster Buch,Point(12.9869 51.1522),1192,http://www.wikidata.org/entity/Q1775093
Dominikanerinnenkloster Altenhohenau,Point(12.177451777 48.008164211),1235,http://www.wikidata.org/entity/Q1774943
Benediktinerkloster Chammünster,Point(12.6941 49.2113),701,http://www.wikidata.org/entity/Q1775122
Benediktinerkloster Biburg,Point(11.8566 48.7922),1101,http://www.wikidata.org/entity/Q1775035
Zisterzienserkloster Aldersbach,Point(13.086090904 48.588162543),1120,http://www.wikidata.org/entity/Q1774939
Zisterzienserkloster Bildhausen,Point(10.287196288 50.275973352),1156,http://www.wikidata.org/entity/Q1775031
Zisterzienserabtei Bronnbach,Point(9.547222222 49.7125),1151,http://www.wikidata.org/entity/Q1775087
Zisterzienserinnenkloster Caldern,Point(8.66328835 50.84451438),1238,http://www.wikidata.org/entity/Q1775103
Zisterzienserinnenkloster Kapellendorf,Point(11.4694 50.9747),1235,http://www.wikidata.org/entity/Q1751703
Missionshaus St. Augustin,Point(7.17833 50.7742),1913,http://www.wikidata.org/entity/Q1747900
Benediktinerabtei Bursfelde,Point(9.624722 51.541667),1001,http://www.wikidata.org/entity/Q1775099
Benediktinerinnenkloster Frauenchiemsee,Point(12.42487239 47.872191395),782,http://www.wikidata.org/entity/Q1749393
Kloster Ebstorf,Point(10.4122 53.0306),1101,http://www.wikidata.org/entity/Q1750020
Kloster Brenkhausen,Point(9.35173 51.8026),1245,http://www.wikidata.org/entity/Q1775082
Zisterzienserinnenkloster Beuren,Point(10.2706 51.3816),1200,http://www.wikidata.org/entity/Q1775027
Augustinerchorherrenstift Baumburg,Point(12.5308 47.9981),1107,http://www.wikidata.org/entity/Q1774987
Benediktinerkloster Berg im Donaugau,Point(11.23983 48.635),768,http://www.wikidata.org/entity/Q1775023
Zisterzienserabtei Bredelar,Point(8.7725 51.4178),1196,http://www.wikidata.org/entity/Q1775083
Klarissenkloster Heilbronn,Point(9.22044 49.1401),1301,http://www.wikidata.org/entity/Q1744431
Zisterzienserinnenkloster Rosenthal (Kerzenheim),Point(8.01222 49.5603),1241,http://www.wikidata.org/entity/Q1766421
