monastery,location,wikidata_entry
Augustinerchorfrauenstift Ottersweier,Point(8.11196341 48.66723518),http://www.wikidata.org/entity/Q28977271
Augustinerinnenkloster Hermaringen,Point(10.2603614 48.59682621),http://www.wikidata.org/entity/Q28977363
Augustinerchorfrauenstift Asbeck,Point(7.14244 52.0535),http://www.wikidata.org/entity/Q2348577
Augustinerchorfrauenstift Inzigkofen,Point(9.17712 48.0741),http://www.wikidata.org/entity/Q2348611
Augustinerchorherrenstift Au,Point(12.3275 48.1666),http://www.wikidata.org/entity/Q1621313
"Ehemaliger Propsteistock des Augustiner-Chorherrenstifts Kloster St. Zeno, seit 1852 Institut der Englischen Fräulein",Point(12.887923 47.730881),http://www.wikidata.org/entity/Q41273680
Sommerhaus des ehemaligen Augustiner-Eremitenklosters,Point(12.767682171 48.060594917),http://www.wikidata.org/entity/Q41270502
Teile der Einfriedung mit fünf bekrönten Postamenten aus dem Klostergarten des ehemals Augustiner-Chorherrenstifts Weyarn,Point(11.78686 47.86996),http://www.wikidata.org/entity/Q41246782
Südlicher Trakt des zum ehemaligen Augustiner-Chorherrenstift gehörenden Wirtschaftshofes mit der ehemaligen Klostermühle und ehemaligen Gasträumen des Stifts,Point(11.096357 47.947329),http://www.wikidata.org/entity/Q41253916
Schlussstein vom ehemaligen Augustinerkloster,Point(12.1057 49.018),http://www.wikidata.org/entity/Q41278108
"Klosteranlage des ehemaligen Augustiner-Chorherrenstiftes, jetzt Kloster St. Vinzenz der Barmherzigen Schwestern vom heiligen Vinzenz von Paul",Point(11.097349863 47.947583155),http://www.wikidata.org/entity/Q41253915
Augustinerinnenkloster Wurzach,Point(9.89962988 47.90936445),http://www.wikidata.org/entity/Q28977197
"Augustinerchorherrenstift St. Michael zu den Wengen, Ulm",Point(9.98719917 48.39895088),http://www.wikidata.org/entity/Q28977137
Augustinerchorherrenstift Schiffenberg,Point(8.72274 50.55507),http://www.wikidata.org/entity/Q1305397
"Augustinerchorherrenstift St. Peter, Paulus und Verena, Höningen",Point(8.0771 49.4908),http://www.wikidata.org/entity/Q1339501
"Augustinerchorfrauenstift, später Antoniterkloster Arolsen",Point(9.02194 51.3808),http://www.wikidata.org/entity/Q1292818
"Benediktinerkloster, später Augustinerchorfrauenstift Hohenholte",Point(7.46 51.9961),http://www.wikidata.org/entity/Q1321277
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094722222 48.851111111),http://www.wikidata.org/entity/Q1345581
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094720021 48.850890083),http://www.wikidata.org/entity/Q1345581
Augustinereremitenkloster Pappenheim,Point(10.971348 48.934031),http://www.wikidata.org/entity/Q1305052
Augustinerkloster Tübingen,Point(9.05349848 48.51956424),http://www.wikidata.org/entity/Q28977086
Augustinerchorfrauenstift Riedern am Wald,Point(8.2883444 47.71766435),http://www.wikidata.org/entity/Q28977054
"Augustinerinnen, dann Augustinerkloster Oberndorf",Point(8.57522982 48.29238871),http://www.wikidata.org/entity/Q28976967
Augustinerkloster Freiburg,Point(7.8525 47.99388889),http://www.wikidata.org/entity/Q1776319
Augustinerchorherrenstift Öhningen (zuvor möglicherweise Benediktinerkloster),Point(8.88775 47.66154),http://www.wikidata.org/entity/Q1776348
"Augustinerchorherrenstift St. Maria, Hördt",Point(8.329992 49.165294),http://www.wikidata.org/entity/Q28978072
Zisterzienserinnenkloster Niederwerth (zeitweilig Augustinerchorherren),Point(7.613131 50.392677),http://www.wikidata.org/entity/Q28978115
"Richardikonvent Worms (Tertiarinnenkloster, dann Augustinnerinnenkloster, dann Augustinerchorfrauen)",Point(8.360858 49.631384),http://www.wikidata.org/entity/Q28978142
"Kollegiatstift, dann Augustinerchorfrauenstift Katlenburg",Point(10.0997937 51.6761812),http://www.wikidata.org/entity/Q28978165
Augustinerchorfrauenstift Arnsberg,Point(8.064269 51.397824),http://www.wikidata.org/entity/Q28978169
Augustinerchorherrenstift Blomberg,Point(9.089167 51.944306),http://www.wikidata.org/entity/Q28978178
"Kanonissenstift Hilwartshausen, später Augustinerchorfrauen",Point(9.641111 51.450278),http://www.wikidata.org/entity/Q28978154
Augustinerchorfrauenstift Steterburg,Point(10.4736 52.1936),http://www.wikidata.org/entity/Q2348665
"Augustinerchorfrauenstift St. Walburgis, Soest, später Kanonissenstift",Point(8.105166666 51.570833333),http://www.wikidata.org/entity/Q2348658
"Kollegiatstift, später Augustinerchorherrenstift zur Sülte, Hildesheim",Point(9.95747 52.1558),http://www.wikidata.org/entity/Q2382011
Ehemaliges Augustinerchorherren-Kloster,Point(10.96673727 47.735733679),http://www.wikidata.org/entity/Q41221401
Ehemaliges Augustinerchorherren-Kloster''Botenhaus'',Point(10.965988934 47.73562905),http://www.wikidata.org/entity/Q41221378
Augustinerinnenkloster Osterreide,Point(7.147293 53.314467),http://www.wikidata.org/entity/Q1724010
