brewery,geometry,foundingYear,wikidata-entry
Sudhaus Salzburger Straße 10 in Petting (Gemeinde) (D-1-89-135-50#1),Point(12.848729201 47.885476975),,http://www.wikidata.org/entity/Q98751494
Klosterbrauerei Landshuter Straße 31 in Freising (D-1-78-124-117#4),Point(11.75718479 48.406583229),,http://www.wikidata.org/entity/Q98743675
Bottroper Bier,Point(6.90024 51.52021),,http://www.wikidata.org/entity/Q109215190
Sudhaus Poststraße 1 in Teisendorf (D-1-72-134-26#1),Point(12.823376735 47.848553853),,http://www.wikidata.org/entity/Q98742204
Freyberg Brauerei,Point(11.960823 51.475008),,http://www.wikidata.org/entity/Q111217635
Zum Ochsen,Point(9.5512689 49.400204),,http://www.wikidata.org/entity/Q108096901
Brauerei Alte Bergstraße 488 in Landsberg am Lech (D-1-81-130-47#1),Point(10.879143068 48.048478993),,http://www.wikidata.org/entity/Q98744731
Bierbrauerei Adolf-Kolping-Straße 3 in Ingolstadt (D-1-61-000-616#1),Point(11.423584692 48.767053244),,http://www.wikidata.org/entity/Q98733155
Brauhaus Marktplatz 19 in Kipfenberg (D-1-76-138-33#1),Point(11.395515288 48.949636778),,http://www.wikidata.org/entity/Q98743300
Meinels Bas,Point(11.9183879 50.324971),,http://www.wikidata.org/entity/Q116036049
Brauerei Landsberger Straße 31 in München (D-1-62-000-3750#3),Point(11.543339554 48.138758561),,http://www.wikidata.org/entity/Q98739913
Sudhaus Am Esbaum 5 in Rosenheim (D-1-63-000-264#3),Point(12.124047178 47.854877513),,http://www.wikidata.org/entity/Q98741207
Hofbrauhaus Bräuhausstraße 13 in Berchtesgaden (D-1-72-116-295#1),Point(13.00667266 47.634270795),,http://www.wikidata.org/entity/Q98742010
