brewery,geometry,foundingYear,wikidata-entry
Küpper-Brauerei,Point(7.12133 51.2486),,http://www.wikidata.org/entity/Q2753693
Schloss Brake,Point(8.91572 52.0213),,http://www.wikidata.org/entity/Q1290930
Bergschloß-Brauerei Haldensleben,Point(11.42052778 52.30058333),,http://www.wikidata.org/entity/Q820160
Gröningers Braukeller,Point(9.99638889 53.54722222),,http://www.wikidata.org/entity/Q1551656
Gottsmannsgrüner Brauerei,Point(11.800633996 50.384852418),,http://www.wikidata.org/entity/Q1363430
Brauerei Pinkus Müller,Point(7.621666666 51.965555555),,http://www.wikidata.org/entity/Q880090
Jever,Point(7.90199995 53.57600021),,http://www.wikidata.org/entity/Q601859
Kneitinger,Point(12.088826002 49.019712734),,http://www.wikidata.org/entity/Q1777013
Hansens Brauerei,Point(9.433313 54.790817),,http://www.wikidata.org/entity/Q1583763
Zum Schwarzen Adler,Point(10.321095 47.724771),,http://www.wikidata.org/entity/Q15427562
Schloss Blumenthal,Point(11.148533648 48.421031479),,http://www.wikidata.org/entity/Q1730602
Müglitztalbrauerei Glashütte,Point(13.7824 50.8488),,http://www.wikidata.org/entity/Q1958315
Brauerei Hebendanz,Point(11.0568 49.7202),,http://www.wikidata.org/entity/Q900238
Brauhaus am Kreuzberg,Point(10.9555 49.7591),,http://www.wikidata.org/entity/Q900510
Städtische Bierbrauerei Pirna,Point(13.9431 50.9589),,http://www.wikidata.org/entity/Q2359908
Brauerei Schmitt,Point(11.058404 50.724559),,http://www.wikidata.org/entity/Q900376
Haus Luitpoldstraße 3,Point(10.9726 49.0311),,http://www.wikidata.org/entity/Q1590327
Franziskanerinnenkloster Reutberg,Point(11.636416946 47.813265332),,http://www.wikidata.org/entity/Q1450262
Ratsherrn Pilsener,Point(9.968445 53.562993),,http://www.wikidata.org/entity/Q1527803
Fränkisches Freilandmuseum Bad Windsheim,Point(10.422222 49.497222),,http://www.wikidata.org/entity/Q1471250
Thüringer Freilichtmuseum Hohenfelden,Point(11.1647 50.8891),,http://www.wikidata.org/entity/Q2430787
Privatbrauerei Moritz Fiege,Point(7.228388888 51.481472222),,http://www.wikidata.org/entity/Q1360601
Haus Töller,Point(6.94293 50.9303),,http://www.wikidata.org/entity/Q1387555
Gasthof Naundorf,Point(13.6062 51.1101),,http://www.wikidata.org/entity/Q1495502
Löwenapotheke am Kornmarkt,Point(10.456974 51.207827),,http://www.wikidata.org/entity/Q900514
Klosterbrauerei Andechs,Point(11.183055555 47.807777777),,http://www.wikidata.org/entity/Q1776382
Schloss Schmiedelfeld,Point(9.85117 48.9649),,http://www.wikidata.org/entity/Q1337812
Schloss Königs Wusterhausen,Point(13.625 52.2983),,http://www.wikidata.org/entity/Q1544436
Brauereigasthof Bucher,Point(10.371856814 48.553006042),,http://www.wikidata.org/entity/Q17505463
Rupp-Bräu,Point(9.36917 52.2791),,http://www.wikidata.org/entity/Q1362504
Markthalle IX,Point(13.4315 52.5022),,http://www.wikidata.org/entity/Q1226563
Brauerei Gold Ochsen,Point(9.990833333 48.406944444),,http://www.wikidata.org/entity/Q900213
Brauerei Paul Lohse,Point(13.7911 50.7581),,http://www.wikidata.org/entity/Q900331
Gräfliches Hofbrauhaus Freising,Point(11.746808333 48.405930555),,http://www.wikidata.org/entity/Q1551459
Mathäser,Point(11.5636 48.1392),,http://www.wikidata.org/entity/Q1908775
Kloster Dalheim,Point(8.84139 51.5653),,http://www.wikidata.org/entity/Q1565893
Brauereigasthof Kapplerbräu,Point(11.257685895 48.38721482),,http://www.wikidata.org/entity/Q900437
Brauereigasthof in Leinburg,Point(11.30875 49.45003),,http://www.wikidata.org/entity/Q900137
Schloss Bruchhausen,Point(8.53056 51.32),,http://www.wikidata.org/entity/Q1541085
Brauerei Scheidmantel,Point(10.983732994 50.274964884),,http://www.wikidata.org/entity/Q900366
Bischofshof (Regensburg),Point(12.097903016 49.020113181),,http://www.wikidata.org/entity/Q866161
Em Kölsche Boor,Point(6.95675 50.9487),,http://www.wikidata.org/entity/Q969673
Arcobräu,Point(12.96 48.746388888),,http://www.wikidata.org/entity/Q637645
Brauerei Lohmen,Point(14.0093 50.988),,http://www.wikidata.org/entity/Q900309
Brauerei Kelbra,Point(11.0423 51.4342),,http://www.wikidata.org/entity/Q900269
Schloss Stein an der Traun,Point(12.54697916 47.988176775),,http://www.wikidata.org/entity/Q778904
Haus Luitpoldstraße 16,Point(10.9733 49.0307),,http://www.wikidata.org/entity/Q1227520
Benediktinerkloster Mallersdorf,Point(12.254036111 48.778222222),,http://www.wikidata.org/entity/Q881136
Rotes Brauhaus,Point(10.97352 48.93466),,http://www.wikidata.org/entity/Q2168479
Schloss Haus (Neueglofsheim),Point(12.1797 48.9025),,http://www.wikidata.org/entity/Q2241466
Päffgen Kölsch,Point(6.94183 50.9407),,http://www.wikidata.org/entity/Q152198
Schloss Boitzenburg,Point(13.6023 53.2604),,http://www.wikidata.org/entity/Q876376
Dorfkirche Döben,Point(11.772 51.9662),,http://www.wikidata.org/entity/Q1244254
Schloss Hundisburg,Point(11.400247 52.249344),,http://www.wikidata.org/entity/Q1770148
