monastery,location,wikidata_entry
Benediktinerkloster Weißenohe,Point(11.2533 49.6296),http://www.wikidata.org/entity/Q1776275
"Benediktinerkloster Huysburg, Huy",Point(11.0019 51.9602),http://www.wikidata.org/entity/Q1639470
Benediktinerabtei Plankstetten,Point(11.454051032 49.069077026),http://www.wikidata.org/entity/Q319484
"Benediktinerkloster Thankmarsfelde, später Nienburg",Point(11.771758333 51.836511111),http://www.wikidata.org/entity/Q317443
"Benediktinerkloster St. Ludgeri, Helmstedt",Point(11.0157 52.2262),http://www.wikidata.org/entity/Q319017
Benediktinerabtei Gengenbach,Point(8.0171 48.4042),http://www.wikidata.org/entity/Q316077
Benediktinerabtei Brauweiler,Point(6.782778 50.961111),http://www.wikidata.org/entity/Q333840
"Benediktinerabtei St. Alban, Mainz",Point(8.28 49.99),http://www.wikidata.org/entity/Q320189
"Benediktinerabtei St. Heribert, Deutz",Point(6.9697 50.938061111),http://www.wikidata.org/entity/Q333893
Benediktinerkloster Aachen Burtscheid,Point(6.09333 50.7631),http://www.wikidata.org/entity/Q325202
Benediktinerinnenkloster Oesede,Point(8.11361 52.2008),http://www.wikidata.org/entity/Q1554631
Benediktinerkloster Gunzenhausen,Point(10.7542 49.1147),http://www.wikidata.org/entity/Q1551256
Benediktinerabtei Lorch,Point(9.70317 48.7988),http://www.wikidata.org/entity/Q1539999
Benediktinerinnenkloster Escherde,Point(9.82012 52.116),http://www.wikidata.org/entity/Q1125889
Benediktinerkloster Sankt Oswald,Point(13.4254 48.8918),http://www.wikidata.org/entity/Q1167171
"Benediktinerinnenkloster Hagenbusch (vor dem Meertor), Xanten",Point(6.44472 51.6583),http://www.wikidata.org/entity/Q1110121
Benediktinerpriorat Oberried,Point(7.95416667 47.93416667),http://www.wikidata.org/entity/Q1479032
"Benediktinerkloster Heilig Kreuz, Donauwörth",Point(10.7739 48.7191),http://www.wikidata.org/entity/Q1479756
"Benediktinerinnenkloster Mittelmünster, Regensburg",Point(12.0967 49.0158),http://www.wikidata.org/entity/Q1313170
Benediktinerinnenkloster Willebadessen,Point(9.03456 51.6251),http://www.wikidata.org/entity/Q1294453
"Benediktinerkloster St. Ägidien (Schottenkloster), Nürnberg",Point(11.0817 49.4564),http://www.wikidata.org/entity/Q1297797
Benediktinerkloster Tegernsee,Point(11.756854504 47.707440018),http://www.wikidata.org/entity/Q448527
Benediktinerkloster Scharnitz,Point(11.23874444 47.48187222),http://www.wikidata.org/entity/Q457336
Benediktinerinnenkloster Urspring,Point(9.7188 48.3819),http://www.wikidata.org/entity/Q1619831
"Benediktinerkloster St. Wigbert, Göllingen",Point(11.0142 51.3456),http://www.wikidata.org/entity/Q1611715
Benediktinerkloster Homburg bei Langensalza,Point(10.6364 51.1281),http://www.wikidata.org/entity/Q1625884
"Benediktinerkloster St. Mang, Füssen",Point(10.6995 47.5666),http://www.wikidata.org/entity/Q1527304
"Benediktiner- (Doppel-?) Kloster, später Augustinerchorherren Marienkamp",Point(7.59889 53.6367),http://www.wikidata.org/entity/Q1526501
Benediktinerkloster Ebersberg,Point(11.9715 48.0776),http://www.wikidata.org/entity/Q1516250
Benediktinerabtei Weingarten,Point(9.64448 47.80885),http://www.wikidata.org/entity/Q334353
Benediktinerabtei Neresheim,Point(10.3437 48.7559),http://www.wikidata.org/entity/Q334064
Benediktinerkloster Mettlach,Point(6.594 49.4941),http://www.wikidata.org/entity/Q334036
Benediktinerabtei Laach,Point(7.252098 50.402261),http://www.wikidata.org/entity/Q334032
"Benediktinerkloster St. Martin, Trier",Point(6.63333 49.7625),http://www.wikidata.org/entity/Q334299
Benediktinerabtei Marienmünster,Point(9.21248 51.8317),http://www.wikidata.org/entity/Q334034
Benediktinerkloster Wimmelburg,Point(11.5143 51.5197),http://www.wikidata.org/entity/Q1632674
"Benediktinerkloster Hasungen, Zierenberg",Point(9.277222222 51.323888888),http://www.wikidata.org/entity/Q877816
"Benediktinerabtei St. Georg, Isny",Point(10.0429 47.6939),http://www.wikidata.org/entity/Q878638
Benediktiner-Doppelkloster Paulinzella,Point(11.1044 50.7025),http://www.wikidata.org/entity/Q879317
Benediktinerinnenkloster Drübeck,Point(10.714722222 51.855833333),http://www.wikidata.org/entity/Q880025
Benediktinerkloster Ensdorf,Point(11.9364 49.3409),http://www.wikidata.org/entity/Q1565235
Benediktinerkloster Auhausen,Point(10.6192 49.0081),http://www.wikidata.org/entity/Q1558134
Benediktinerinnenkloster Frauenchiemsee,Point(12.42487239 47.872191395),http://www.wikidata.org/entity/Q1749393
"Zisterzienser-/Benediktinerkloster, später Kartause Güterstein",Point(9.35722 48.4911),http://www.wikidata.org/entity/Q1734516
"Benediktinerinnenkloster St. Theodor, Bamberg",Point(10.8811 49.8883),http://www.wikidata.org/entity/Q1734048
Benediktinerinnenkloster Preetz,Point(10.283269444 54.240372222),http://www.wikidata.org/entity/Q1775818
"Kollegiatstift, später Benediktinerkloster Reinhausen",Point(9.98333 51.4679),http://www.wikidata.org/entity/Q1775848
Benediktinerkloster Oberalteich,Point(12.667310659 48.917624961),http://www.wikidata.org/entity/Q1775747
"Benediktinerinnenkloster Neuwerk, Mönchengladbach",Point(6.47156 51.2238),http://www.wikidata.org/entity/Q1775714
"Benediktinerabtei Pansath, Holtgast",Point(7.55718 53.6344),http://www.wikidata.org/entity/Q1775784
"Schwesternhaus, später Benediktinerinnenkloster Odacker, Warstein-Hirschberg",Point(8.28994 51.4386),http://www.wikidata.org/entity/Q1775749
Benediktinerkloster Bosau (Posa),Point(12.1543 51.0522),http://www.wikidata.org/entity/Q1775807
Benediktinerkloster Oberalteich,Point(12.667 48.9167),http://www.wikidata.org/entity/Q1775747
"Benediktinerinnenkloster Niedernburg, Passau",Point(13.4719 48.5742),http://www.wikidata.org/entity/Q1775718
"Kanonissenstift Heeslingen, später Benediktinerinnenabtei Zeven",Point(9.280726 53.2970051),http://www.wikidata.org/entity/Q426895
Benediktinerkloster Theres,Point(10.4472 50.0192),http://www.wikidata.org/entity/Q1776158
Benediktinerinnenkloster Unterliezheim,Point(10.5452 48.6844),http://www.wikidata.org/entity/Q1776189
Benediktiner-Doppelkloster Thedinga,Point(7.4507 53.271),http://www.wikidata.org/entity/Q1776153
Benediktinerkloster Tegernbach/Kirchstetten,Point(12.0956 48.3233),http://www.wikidata.org/entity/Q1776142
"Benediktinerkloster Vornbach, früher Stift",Point(13.4423 48.486),http://www.wikidata.org/entity/Q1776251
"Benediktinerinnenkloster Marienberg, Boppard",Point(7.59583 50.2292),http://www.wikidata.org/entity/Q1775595
Benediktinerinnenkloster Stötterlingenburg,Point(10.6665 51.9674),http://www.wikidata.org/entity/Q1662196
"Benediktinerabtei St. Maria, Stade",Point(9.495346 53.587361),http://www.wikidata.org/entity/Q1664839
"Zisterzienserinnenkloster Rinteln, später Benediktinerinnen",Point(9.07796 52.1858),http://www.wikidata.org/entity/Q1679538
"Benediktiner-Doppelkloster, später Zisterzienserinnen Meerhusen",Point(7.49956 53.5159),http://www.wikidata.org/entity/Q1667675
Benediktinerinnenkloster Hecklingen,Point(11.533622 51.846582),http://www.wikidata.org/entity/Q1668624
"Benediktinerinnenkloster St. Walburg, Monheim",Point(10.8578 48.8411),http://www.wikidata.org/entity/Q1670907
Benediktinerpropstei Holzkirchen,Point(9.6805 49.7806),http://www.wikidata.org/entity/Q1686597
Benediktinerinnenkloster Holzen,Point(10.8145 48.6042),http://www.wikidata.org/entity/Q1659486
"Benediktinerpropstei Remigiusberg, Haschbach am Remigiusberg",Point(7.43836 49.5211),http://www.wikidata.org/entity/Q1799222
Benediktinerkloster Scheyern,Point(11.453130928 48.5023203),http://www.wikidata.org/entity/Q881489
Benediktinerabtei Prüfening,Point(12.045555555 49.009166666),http://www.wikidata.org/entity/Q881589
