monastery,location,wikidata_entry
"Zisterzienserinnenkloster St. Jakobi, Osterode",Point(10.2545 51.7241),http://www.wikidata.org/entity/Q1776086
Zisterzienserinnenkloster Sonnefeld,Point(11.134025606 50.221536294),http://www.wikidata.org/entity/Q1776049
"Zisterzienserinnenkloster Georgenberg, Frankenberg",Point(8.79209 51.0569),http://www.wikidata.org/entity/Q1776081
"Zisterzienserinnenkloster St. Jacobi-St. Burchardi, Halberstadt",Point(11.0422 51.9014),http://www.wikidata.org/entity/Q1776071
Zisterzienserkloster Amelungsborn,Point(9.59306 51.8972),http://www.wikidata.org/entity/Q880834
Zisterzienserinnenkloster Schledenhorst (vorher Empel),Point(6.48861 51.7631),http://www.wikidata.org/entity/Q1775996
Zisterzienserabtei Scharnebeck,Point(10.5109 53.293),http://www.wikidata.org/entity/Q1775992
"Zisterzienserinnen-, später Franziskanerkloster Schönau (Saale)",Point(9.72096596 50.07658417),http://www.wikidata.org/entity/Q1776009
"Zisterzienserinnen-, später Franziskanerkloster Schönau (Saale)",Point(9.7208 50.0767),http://www.wikidata.org/entity/Q1776009
"Zisterzienserinnenkloster Katharinental, Sankt Katharinen (bei Bad Kreuznach)",Point(7.768611 49.866389),http://www.wikidata.org/entity/Q1775947
Zisterzienserabtei Schönau,Point(8.8094 49.4359),http://www.wikidata.org/entity/Q1776013
Zisterzienserinnenkloster Heiligengrabe,Point(12.3512 53.1415),http://www.wikidata.org/entity/Q1776128
Zisterzienserabtei Tennenbach,Point(7.8961 48.1449),http://www.wikidata.org/entity/Q1776149
Zisterzienserinnenkloster Tiefenthal,Point(8.11944 50.0611),http://www.wikidata.org/entity/Q1776160
Zisterzienserinnenkloster Frauenroth,Point(10.00942 50.24667),http://www.wikidata.org/entity/Q291044
Zisterzienserinnenkloster Frauenroth,Point(10.018582441 50.261672441),http://www.wikidata.org/entity/Q291044
Zisterzienserkloster Pielenhofen,Point(11.956923189 49.073689994),http://www.wikidata.org/entity/Q880728
Zisterzienserkloster Pielenhofen,Point(11.9571 49.0734),http://www.wikidata.org/entity/Q880728
Zisterzienserabtei Herrenalb,Point(8.4369 48.7962),http://www.wikidata.org/entity/Q877810
Zisterzienserkloster Doberan,Point(11.9097 54.1078),http://www.wikidata.org/entity/Q869603
"Zisterzienserinnenkloster Graefenthal, Asperden",Point(6.10611 51.7058),http://www.wikidata.org/entity/Q876087
Zisterzienserkloster Grünhain,Point(12.8111 50.5796),http://www.wikidata.org/entity/Q876202
Zisterzienserkloster Arnsburg,Point(8.79212 50.4937),http://www.wikidata.org/entity/Q882370
Zisterzienserinnenkloster Heydau (auch Haydau),Point(9.61783 51.0662),http://www.wikidata.org/entity/Q892609
Zisterzienserinnenabtei Baindt,Point(9.665833 47.842778),http://www.wikidata.org/entity/Q468189
Zisterzienserinnenabtei Gutenzell,Point(9.99597 48.1147),http://www.wikidata.org/entity/Q477383
Zisterzienserinnenkloster St. Katharinen (bei Neuwied),Point(7.34538 50.5914),http://www.wikidata.org/entity/Q1170991
Zisterzienserkloster Langheim,Point(11.1101 50.1122),http://www.wikidata.org/entity/Q1357562
Zisterzienserabtei Neuzelle,Point(14.6522 52.0906),http://www.wikidata.org/entity/Q895757
"Zisterzienserkloster Marienrode (früher Backenrode), zuvor Augustinerchorherrenstift",Point(9.91431 52.1139),http://www.wikidata.org/entity/Q896113
"Zisterzienserkloster St. Maria und Peter, Heisterbach",Point(7.21389 50.6953),http://www.wikidata.org/entity/Q897297
Zisterzienserabtei Riddagshausen,Point(10.5773 52.2674),http://www.wikidata.org/entity/Q896558
Zisterzienserabtei Zinna,Point(13.1039 52.0225),http://www.wikidata.org/entity/Q895983
Zisterzienserabtei Himmelpfort,Point(13.2293 53.1778),http://www.wikidata.org/entity/Q935936
Zisterzienserinnenkloster Gnadenthal,Point(8.2152 50.3093),http://www.wikidata.org/entity/Q1237152
"Zisterzienserinnen-, später Benediktinerinnenkloster St. Georg, Leipzig",Point(12.3702 51.3348),http://www.wikidata.org/entity/Q1233754
Zisterzienserinnenkloster Wormeln,Point(9.1323 51.4733),http://www.wikidata.org/entity/Q1287466
Zisterzienserinnenkloster Mariengarten,Point(9.86833 51.4458),http://www.wikidata.org/entity/Q1308394
Zisterzienserinnenkloster Malchow,Point(12.4315 53.4715),http://www.wikidata.org/entity/Q1319469
Zisterzienserinnenkloster Bersenbrück,Point(7.95008 52.5554),http://www.wikidata.org/entity/Q1255289
Zisterzienserinnenkloster Thron (bei Wehrheim),Point(8.5776 50.2847),http://www.wikidata.org/entity/Q1267457
Zisterzienserinnenkloster Mariensee (Neustadt am Rübenberge),Point(9.48667 52.5586),http://www.wikidata.org/entity/Q1419394
"Benediktiner-, später Zisterzienserinnenkloster Rohrbach bei Oberröblingen",Point(11.2834 51.4396),http://www.wikidata.org/entity/Q1425597
"Benediktiner-, später Zisterzienserinnenkloster Mariacron, Oppenheim",Point(8.35521 49.859),http://www.wikidata.org/entity/Q1377858
Zisterzienserinnenkloster Maidbronn,Point(9.9757 49.8478),http://www.wikidata.org/entity/Q1412446
Zisterzienserinnenkloster Teistungenburg,Point(10.2644 51.4809),http://www.wikidata.org/entity/Q1396245
Zisterzienserinnenabtei Wonnental,Point(7.76906 48.1853),http://www.wikidata.org/entity/Q1381859
"Zisterzienserinnenkloster zum Heiligen Kreuz, Rostock",Point(12.1325 54.0872),http://www.wikidata.org/entity/Q1776346
Zisterzienserinnenkloster Ichtershausen,Point(10.9719 50.8742),http://www.wikidata.org/entity/Q1776422
Zisterzienserinnenkloster Zehdenick,Point(13.3379 52.9776),http://www.wikidata.org/entity/Q1776306
Zisterzienserkloster Michaelstein,Point(10.9142 51.8061),http://www.wikidata.org/entity/Q1441940
Zisterzienserkloster Georgenthal,Point(10.6592 50.8289),http://www.wikidata.org/entity/Q1447960
Zisterzienserinnenabtei Braunschweig (Kreuzkloster),Point(10.5089 52.2681),http://www.wikidata.org/entity/Q1788370
Zisterzienserinnenkloster Allendorf,Point(10.2583 50.8185),http://www.wikidata.org/entity/Q11722050
Zisterzienserinnenkloster Patershausen (Heusenstamm),Point(8.8065 50.034),http://www.wikidata.org/entity/Q2056776
Zisterzienserkloster Gotteszell,Point(12.965645034 48.963838867),http://www.wikidata.org/entity/Q1508069
Zisterzienserkloster Gotteszell,Point(12.9655 48.9638),http://www.wikidata.org/entity/Q1508069
Zisterzienserinnenkloster Billigheim,Point(9.25460153 49.34710885),http://www.wikidata.org/entity/Q28976881
Zisterzienserinnenkloster Wanzka,Point(13.230691 53.406287),http://www.wikidata.org/entity/Q1554781
"Zisterzienserinnenabtei Börstel, später Damenstift",Point(7.69389 52.65),http://www.wikidata.org/entity/Q1543907
