monastery,location,wikidata_entry
Dominikanerinnenkloster Rottweil,Point(8.6240056 48.16854157),http://www.wikidata.org/entity/Q28976976
Dominikanerinnenkloster Hirrlingen,Point(8.88892466 48.41096235),http://www.wikidata.org/entity/Q28977085
Dominikanerinnenklause Bergfelden,Point(8.68381762 48.34595002),http://www.wikidata.org/entity/Q28976981
Dominikanerkloster Strausberg,Point(13.879585 52.581873),http://www.wikidata.org/entity/Q28979493
"Dominikanerkloster St. Maria Magdalena, Schleswig",Point(9.569409 54.512368),http://www.wikidata.org/entity/Q28979035
Dominikanerkloster Meldorf,Point(9.074743 54.091025),http://www.wikidata.org/entity/Q28978988
Dominikanerkloster Meldorf,Point(9.074686 54.090991),http://www.wikidata.org/entity/Q28978988
Dominikanerkloster Hamburg,Point(9.993056 53.550833),http://www.wikidata.org/entity/Q28978939
Dominikanerkloster Luckau,Point(13.716471 51.853188),http://www.wikidata.org/entity/Q28979458
Dominikanerkloster Seehausen/Altmark,Point(11.752232 52.889136),http://www.wikidata.org/entity/Q28979487
Dominikanerkloster Berlin-Cölln,Point(13.400433 52.517193),http://www.wikidata.org/entity/Q28979124
Dominikanerinnenkloster Balingen,Point(8.85390352 48.27653146),http://www.wikidata.org/entity/Q28977093
"Dominikanerinnenkloster St. Margareth, Augsburg",Point(10.903265 48.360964),http://www.wikidata.org/entity/Q28978895
Dominikanerkloster Augsburg,Point(10.901 48.3653),http://www.wikidata.org/entity/Q28978897
Dominikanerinnenkloster Dornhan,Point(8.5084484 48.35049729),http://www.wikidata.org/entity/Q28977343
"Dominikanerinnenkloster St. Katharina in der Wiehre, Freiburg",Point(7.84508636 47.98918758),http://www.wikidata.org/entity/Q28977270
Dominikanerinnenkloster Hochmauren,Point(8.64412467 48.15589792),http://www.wikidata.org/entity/Q28977256
Dominikanerinnenkloster Bochingen,Point(8.61754555 48.29973149),http://www.wikidata.org/entity/Q28977339
Dominikanerinnenkloster Halberstadt,Point(11.05133 51.89167),http://www.wikidata.org/entity/Q28977552
"Dominikaner-Terziarinnen (?) ""Klause"" Sulz",Point(8.63256264 48.36150884),http://www.wikidata.org/entity/Q28977390
"Dominikanerinnenkloster (?) ""Frauen zu St. Wendelin"" Sulz",Point(8.63201072 48.36131822),http://www.wikidata.org/entity/Q28977391
"Dominikanerkloster St. Katharinen, Halberstadt",Point(11.04985 51.89825),http://www.wikidata.org/entity/Q28977537
"Dominikanerinnenkloster St. Maria Magdalena, Freiburg",Point(7.84997808 47.99877003),http://www.wikidata.org/entity/Q28977415
Dominikanerinnenkloster Coswig,Point(12.459071 51.882651),http://www.wikidata.org/entity/Q28977824
Dominikanerkloster Neuruppin,Point(12.810245 52.922424),http://www.wikidata.org/entity/Q28977758
Dominikanerinnenkloster Andernach,Point(7.399146 50.433407),http://www.wikidata.org/entity/Q28978019
Dominikanerkloster Dortmund,Point(7.462778 51.513611),http://www.wikidata.org/entity/Q28978327
"Dominikanerkloster Göttingen, genannt Paulinerkloster",Point(9.932191 51.533666),http://www.wikidata.org/entity/Q28977888
"Dominikanerkloster St. Paul, Aachen",Point(6.078307 50.7745),http://www.wikidata.org/entity/Q28978213
"Dominikaner-Terziarinnenkloster Marienbongard, Aachen",Point(6.079031 50.779502),http://www.wikidata.org/entity/Q28978214
"Dominikanerinnenkloster St. Maria Himmelskron (Corona Coeli), Hochheim",Point(8.33081 49.639083),http://www.wikidata.org/entity/Q28978070
Dominikanerinnenkloster Zoffingen in Konstanz,Point(9.177055 47.665481),http://www.wikidata.org/entity/Q15117359
"Dominikanerinnenkloster Cronschwitz, Wünschendorf/Elster",Point(12.09772825 50.79044646),http://www.wikidata.org/entity/Q15117177
Ehemaliges Dominikanerkloster Mainz,Point(8.269818 49.999271),http://www.wikidata.org/entity/Q18620705
Dominikanerinnenkloster Reutin,Point(8.745615 48.621367),http://www.wikidata.org/entity/Q17322857
Dominikanerinnenkloster Engeltal,Point(8.49639 48.486492),http://www.wikidata.org/entity/Q18202304
Dominikanerkloster St. Johannis (Hamburg),Point(10.03480556 53.57963889),http://www.wikidata.org/entity/Q18121807
"Dominikanerkloster (Weiße Gasse), Koblenz",Point(7.59138889 50.36194444),http://www.wikidata.org/entity/Q18609793
Dominikanerinnenkloster St. Ursula,Point(10.778674214 48.719727513),http://www.wikidata.org/entity/Q41315107
"Ehemalige Dominikanerinnen-Klosterkirche St. Maria, seit dem 16. Jahrhundert evangelisch-lutherische Pfarrkirche St. Matthäus",Point(10.960472 49.567459),http://www.wikidata.org/entity/Q41302622
Villa des ehemaligen Dominikanerinnenklosters,Point(10.64005 48.05839),http://www.wikidata.org/entity/Q41302089
Ehemaliges Dominikanerkloster jetzt Pfarrhof,Point(10.473579514 48.172684661),http://www.wikidata.org/entity/Q41302106
Reste des ehemaligen Dormitoriums und Refektoriums des ehemaligen Dominikanerinnenklosters,Point(10.960426 49.567211),http://www.wikidata.org/entity/Q41302590
"Dominikanerinnenkloster Blankenburg, vorher Skapen",Point(8.28645 53.15191),http://www.wikidata.org/entity/Q15823892
Dominikanerkloster Köln,Point(6.95433 50.94296),http://www.wikidata.org/entity/Q17280860
"Frauenkloster Heilig Geist, Alzey, später Dominikanerinnen (?), dann Zisterzienserinnen",Point(8.125634 49.745157),http://www.wikidata.org/entity/Q15823909
"Dominikanerterziarinnenkloster Soest, genannt der kleine Mariengarten",Point(8.10517 51.57083),http://www.wikidata.org/entity/Q28982471
Dominikanerkloster Osnabrück,Point(8.039556 52.278944),http://www.wikidata.org/entity/Q28980201
Dominikanerterziarinnenkloster Damme,Point(8.19233 52.52017),http://www.wikidata.org/entity/Q28981335
Dominikanerkloster Münster,Point(7.630833 51.961944),http://www.wikidata.org/entity/Q28981894
Dominikanerkloster (?) Goslar,Point(10.42467 51.90433),http://www.wikidata.org/entity/Q28980554
Dominikanerkloster Gronau,Point(9.777306 52.083667),http://www.wikidata.org/entity/Q28980612
"Dominikanerterziarinnenkloster Münster, genannt Verspoel",Point(7.627327 51.957117),http://www.wikidata.org/entity/Q28981812
"Kollegiatstift (später Dominikanerinnen) St. Maria, Oestringfelde",Point(7.9425 53.535),http://www.wikidata.org/entity/Q28980466
"Dominikanerinnenkloster Paradiese bei Soest, später konfessionell gemischtes Stift",Point(8.052941 51.566596),http://www.wikidata.org/entity/Q28982160
"Ehemalige Dominikanerinnenklosterkirche St. Margareth, jetzt katholische Spitalkirche",Point(10.903126 48.361956),http://www.wikidata.org/entity/Q41418472
"Ehemaliges Dominikanerinnenkloster, jetzt Reichsstadtmuseum",Point(10.17584 49.37843),http://www.wikidata.org/entity/Q41425357
Ehemalige Dominikanerinnenklosterkirche St. Ursula ),Point(10.903056 48.365671),http://www.wikidata.org/entity/Q41418251
"Prämonstratenserinnenstift Lauffen, zuvor Benediktinerinnen und Dominikanerinnen",Point(9.15164705 49.07956315),http://www.wikidata.org/entity/Q24045713
Dominikanerinnenkloster Sirnau,Point(9.30592222 48.73749124),http://www.wikidata.org/entity/Q28976647
Dominikanerkloster Hildesheim,Point(9.949761 52.147464),http://www.wikidata.org/entity/Q28976535
Dominikanerkloster Esslingen,Point(9.30505881 48.74307783),http://www.wikidata.org/entity/Q28976646
Dominikanerkonvent Tangermünde,Point(11.967841 52.538578),http://www.wikidata.org/entity/Q28976611
Dominikanerkloster Stuttgart,Point(9.17274642 48.77771276),http://www.wikidata.org/entity/Q28976626
Dominikanerkloster Worms,Point(8.364891 49.6321891),http://www.wikidata.org/entity/Q107761081
Dominikanerkloster Rottweil,Point(8.626498 48.169256),http://www.wikidata.org/entity/Q25389134
Dominikanerkloster Röbel,Point(12.60747761 53.378737705),http://www.wikidata.org/entity/Q28149940
"Dominikanerinnenkloster St. Katharina, Trier",Point(6.632027 49.759165),http://www.wikidata.org/entity/Q27999337
