place_name,feature_type,latitude,longitude
Lake Erie,,42.2501,-80.99973
Lake George,,43.60192,-73.57946
Lake Huron,,44.64083,-81.76806
Lake Michigan,,44.00778,-86.75698
Lake Ontario,,43.75012,-77.99951
Lake St. Clair,,45.41681,-79.06631
Lake Superior,,48.33222,-87.09861
Lancaster,,40.03788,-76.30551
Lancaster,,39.71368,-82.59933
Lancaster County,,40.04244,-76.2477
Laramie Creek,H,40.18894,-84.24217
Laurel Hill,T,40.69093,-75.53713
Leek Island,,45.2168,-80.13298
Lees Creek,H,39.33729,-83.49131
Leh-cha-week,,42.91679,-81.41646
Leh-cha-wi-tank,,42.91679,-81.41646
Leh-oha-wa-hen-neek,,42.91679,-81.41646
Lehigh River,H,40.68899,-75.20434
Leipzig,,51.33962,12.37129
Licking,,39.94035,-82.01319
Ligonier,,40.24313,-79.23753
Limestone,,38.64757,-83.76048
Litchfield,,41.74732,-73.18872
Lititz,,40.15732,-76.3069
Little Beaver Creek,H,38.84591,-82.3896
Little Lake,,53.53346,-60.16491
Little Lehigh Creek,H,40.59722,-75.44861
Little Miami River,H,39.07812,-84.433
Little Schuylkill River,H,40.5787,-76.0266
Little Stillwater Creek,H,40.40423,-81.34122
Little Yellow Creek,H,40.85479,-80.09867
Locust Point,S,41.59571,-83.10581
Locust Point Ottawa County,S,41.59571,-83.10581
London,,43.08339,-81.29975
Long Island,,41.2023,-77.24691
Long Island,,43.86506,-74.45433
Long Island Sound,,54.80029,-79.36635
Long Island. New York,,34.38787,-86.18581
Louisiana,,31.00047,-92.0004
Lower Sandusky,,41.35033,-83.12186
Luzerne County,,41.17701,-75.98903
Machilusing,,41.66813,-76.26188
Mackinaw City,,45.7777,-84.72982
Macungie,,40.51593,-75.55519
Mahoning Creek,H,40.93312,-79.46115
Mahoning Creek Carbon County,H,40.93312,-79.46115
Mahony,,39.03778,-94.94608
Makkinak,,45.7777,-84.72982
Malden,,42.08339,-83.04985
Manheim,,40.16343,-76.39496
Marbletown,,41.88343,-74.1132
Marienborn,,51.4,9.5
Marietta,,31.14101,-86.77718
Marietta,,39.41535,-81.45484
Maryland,,39.00039,-76.74997
Massachusetts,,42.36565,-71.10832
Massch-piuk,,42.91679,-81.41646
Maumee Bay,H,41.72144,-83.40465
Maumee River,H,41.69949,-83.45993
Mesheppen Creek,H,41.61258,-76.05048
Mexico,,19.4,-99.73333
Miami Bay,H,41.72144,-83.40465
Miami River,H,39.10867,-84.81439
Miami Towns,,39.02116,-86.26165
Michigan,,44.25029,-85.50033
Middle Mountain Franklin County,T,41.23648,-75.27713
Middletown,,40.19981,-76.73108
Mifflin County,,40.61041,-77.61704
Milford,,41.22232,-73.0565
Milk River,H,42.46059,-82.87547
Minisink,,40.99871,-75.13712
Mississinnawa,,40.26504,-85.12414
Mississippi River,H,45.43341,-76.28268
