monastery,geometry,year,wikidata_entry
Augustinerchorfrauenstift Ottersweier,Point(8.11196341 48.66723518),1783,http://www.wikidata.org/entity/Q28977271
Augustinereremitenkloster Helmstedt,Point(11.010138 52.227617),1290,http://www.wikidata.org/entity/Q28977482
Augustinerinnenkloster Urach,Point(9.3958103 48.49284218),1454,http://www.wikidata.org/entity/Q28977414
"Augustinerchorherrenstift Hedersleben, zuvor Benediktinerinnenkloster",Point(11.6505 51.54317),1162,http://www.wikidata.org/entity/Q28977462
Augustinerchorfrauenstift Wannental,Point(8.924514 48.238549),1395,http://www.wikidata.org/entity/Q28977399
Augustinerinnenkloster Hermaringen,Point(10.2603614 48.59682621),1400,http://www.wikidata.org/entity/Q28977363
Augustinerkloster Wollmatingen,Point(9.14636538 47.69245809),1324,http://www.wikidata.org/entity/Q28977437
Augustinerinnenkloster Niederbergheim,Point(8.225215 51.477433),1484,http://www.wikidata.org/entity/Q28981696
"Schwesternhaus Vechta, später Augustinerinnen",Point(8.286258 52.726919),1453,http://www.wikidata.org/entity/Q28980816
Augustinerchorfrauenstift Duderstadt,Point(10.246212 51.516702),1334,http://www.wikidata.org/entity/Q28981573
"Augustinerinnenkloster Marienstätte/Dumstorping, Osnabrück",Point(8.03917 52.274),1462,http://www.wikidata.org/entity/Q28980342
"Ehemalige Klosterkirche der Augustinereremiten (bauliche verbunden mit dem Gymnasium St. Augustin, Klosterstraße 1), weiterhin Einfriedung und Grabplatten sowie Glocke von 1491 (heute im Kreismuseum) Klosterstraße -",Point(12.730067606 51.235125917),1301,http://www.wikidata.org/entity/Q49568160
