monastery,geometry,year,wikidata_entry
Zisterzienserinnenkloster Langendorf (Greisslau),Point(11.96365 51.182196),1230,http://www.wikidata.org/entity/Q15114797
Zisterzienserinnenkloster Gottesthal (Oestrich-Winkel),Point(8.01282 50.0175),1213,http://www.wikidata.org/entity/Q13848287
"Zisterzienserinnenkloster Paradies, Mauchenheim",Point(8.044864 49.716875),1262,http://www.wikidata.org/entity/Q28978097
Zisterzienserinnenkloster Niederwerth (zeitweilig Augustinerchorherren),Point(7.613131 50.392677),1275,http://www.wikidata.org/entity/Q28978115
"Benediktiner-, später Zisterzienserinnekloster Mariacron, Oppenheim",Point(8.320833 49.704181),813,http://www.wikidata.org/entity/Q28978125
"Zisterzienserinnenkloster Kentrop, Hamm",Point(7.836111 51.679583),1270,http://www.wikidata.org/entity/Q28978367
Zisterzienserinnenkloster Bonn Graurheindorf,Point(7.076761 50.764775),1225,http://www.wikidata.org/entity/Q28978313
Zisterzienserinnenkloster Jüterbog,Point(13.073376 51.990968),1282,http://www.wikidata.org/entity/Q28979426
"Zisterzienserinnenkloster Neuwerk, Goslar",Point(10.425528 51.909556),1186,http://www.wikidata.org/entity/Q28979556
"Zisterzienserinnenkloster Heilsbruck St. Maria, Harthausen, später Watzenhofen",Point(8.114924 49.283353),1232,http://www.wikidata.org/entity/Q19758177
"Zisterzienserkloster St. Johannisthal, Eisenach",Point(10.308824181 50.975974437),1252,http://www.wikidata.org/entity/Q28981390
"Zisterzienserinnenkloster St. Martini, Erfurt",Point(11.02467 50.97283),1288,http://www.wikidata.org/entity/Q28981419
Zisterzienserinnenkloster Gotha,Point(10.695402904 50.950632351),1251,http://www.wikidata.org/entity/Q28981468
"Zisterzienserinnenkloster Himmelgarten, Alzey",Point(8.107978551 49.74375444),1231,http://www.wikidata.org/entity/Q28981307
"Zisterzienserinnenkloster Paderborn, später Benediktinerinnen, gen. Gaukirchkloster",Point(8.7563 51.71819),1229,http://www.wikidata.org/entity/Q28982039
"Zisterzienserinnenkloster St. Katharina, Bremen",Point(8.808605 53.077866),1180,http://www.wikidata.org/entity/Q28981263
"Zisterzienserinnen-, später Zisterzienserkloster Segenstal, Vlotho",Point(8.8616 52.167026),1252,http://www.wikidata.org/entity/Q28982577
Zisterzienserinnenkloster Frauenprießnitz,Point(11.734413665 51.0158549),1210,http://www.wikidata.org/entity/Q28976563
Zisterzienserinnenkloster Lauterstein,Point(9.04779249 49.17634233),1238,http://www.wikidata.org/entity/Q28976730
Zisterzienserinnenkloster Billigheim,Point(9.25460153 49.34710885),1166,http://www.wikidata.org/entity/Q28976881
Zisterzienserinnenabtei Kirchheim,Point(10.3956597 48.87823118),1267,http://www.wikidata.org/entity/Q23787065
Zisterzienserinnenkloster Boitzenburg,Point(13.620278 53.265833),1271,http://www.wikidata.org/entity/Q99746502
Zisterzienserinnenkloster Frankenhausen,Point(12.39521 50.841777),1410,http://www.wikidata.org/entity/Q31842641
Zisterzienserinnenkloster Aftholderbach,Point(7.860419444 50.211502777),1222,http://www.wikidata.org/entity/Q30142532
Zisterzienserinnenkloster Naundorf,Point(11.413611 51.415833),1250,http://www.wikidata.org/entity/Q47496697
Einzeldenkmale der Sachgesamtheit Klosterruine Nimbschen: Reste des ehemaligen Zisterzienserinnenklosters (Umfassungsmauern vom Konventbau und Ostflügel) sowie Senkringbrunnen und Reste der Äußeren Klostermauer (siehe auch Sachgesamtheitsdokument,Point(12.742868534 51.214678374),1201,http://www.wikidata.org/entity/Q49568904
"Sachgesamtheit Klosterruine Nimbschen, mit folgenden Einzeldenkmalen: Reste des ehemaligen Zisterzienserinnenklosters (Umfassungsmauern vom Konventbau und Ostflügel) sowie Senkringbrunnen und Reste der Äußeren Klostermauer (siehe Einzeldenkmaldoku",Point(12.742868534 51.214678374),1201,http://www.wikidata.org/entity/Q49568907
"Zisterzienserinnenkloster St. Marien zu Helfta (bei Eisleben), später Neuenhelfta",Point(11.5795 51.5085),1229,http://www.wikidata.org/entity/Q1420128
Zisterzienserkloster Himmerod (bei Großlittgen),Point(6.75672 50.0279),1101,http://www.wikidata.org/entity/Q314998
"Zisterzienserkloster Mariawald, Heimbach",Point(6.480833333 50.62),1401,http://www.wikidata.org/entity/Q334026
Zisterzienserkloster Walderbach,Point(12.378276993 49.184152141),1143,http://www.wikidata.org/entity/Q1776252
Zisterzienserinnenkloster Oberschönenfeld,Point(10.726773996 48.312213547),1211,http://www.wikidata.org/entity/Q1446656
Zisterzienserkloster Waldsassen,Point(12.309321121 50.004105821),1147,http://www.wikidata.org/entity/Q531466
Zisterzienserkloster Heilsbronn,Point(10.791944444 49.337777777),1101,http://www.wikidata.org/entity/Q882327
"Zisterzienserabtei Mariensee, später Chorin",Point(13.8836 52.8928),1258,http://www.wikidata.org/entity/Q314084
