monastery,geometry,year,wikidata_entry
Benediktinerkloster Seligenstadt,Point(8.978781 50.042933),820,http://www.wikidata.org/entity/Q16068836
Benediktinerabtei Blaubeuren,Point(9.78476 48.4153),1085,http://www.wikidata.org/entity/Q14524097
Benediktinerabtei Zellerfeld,Point(10.3373859 51.8153578),1200,http://www.wikidata.org/entity/Q16832580
"Benediktinerinnenkloster St. Symphorian, Trier",Point(6.634225706 49.763626027),614,http://www.wikidata.org/entity/Q15823912
Benediktinerinnenkloster,Point(7.59194444 50.34027778),1143,http://www.wikidata.org/entity/Q15107478
Benediktinerkloster Goseck,Point(11.875448 51.192443),1036,http://www.wikidata.org/entity/Q28977487
Benediktinerabtei Memleben,Point(11.497458 51.266417),979,http://www.wikidata.org/entity/Q28977496
Benediktinerpropstei Stein,Point(9.66419462 49.29062994),1149,http://www.wikidata.org/entity/Q28977388
"Augustinerchorherrenstift Hedersleben, zuvor Benediktinerinnenkloster",Point(11.6505 51.54317),1162,http://www.wikidata.org/entity/Q28977462
Benediktinerinnenkloster Holzzelle (Hornburg),Point(11.587 51.453),827,http://www.wikidata.org/entity/Q28977485
"Kanonissenstift Gerbstedt, später Benediktinerinnenkloster",Point(11.628679 51.631596),980,http://www.wikidata.org/entity/Q28977478
Benediktinerpropstei Kohlberg,Point(9.33778432 48.55826994),1100,http://www.wikidata.org/entity/Q28977370
Benediktinerkloster Klostermansfeld,Point(11.497174 51.58418),1170,http://www.wikidata.org/entity/Q28977498
Benediktinerpropstei Rötsee,Point(9.91939139 47.82347798),1000,http://www.wikidata.org/entity/Q28977382
"Benediktinerinnenkloster, später Kanonissenstift Kaufungen",Point(9.633904904 51.27992776),1017,http://www.wikidata.org/entity/Q28979514
Benediktinerkloster Ratzeburg,Point(10.754 53.701),1045,http://www.wikidata.org/entity/Q28979090
Benediktinerinnenkloster Hemmingstedt,Point(9.073187 54.146015),1502,http://www.wikidata.org/entity/Q28978945
Benediktinerinnenkloster Guben,Point(14.719598 51.952359),1151,http://www.wikidata.org/entity/Q28979411
"Kollegiatstift Pöhlde, später Benediktiner, dann Prämonstratenser",Point(10.309129 51.613275),933,http://www.wikidata.org/entity/Q28979532
"Benediktinerkloster St. Michael, Ohrdruf",Point(10.734679 50.828567),720,http://www.wikidata.org/entity/Q28979526
Benediktinerkloster Meppen,Point(7.289 52.6895),743,http://www.wikidata.org/entity/Q28979521
Benediktinerkloster Visbek,Point(8.310128 52.83659),795,http://www.wikidata.org/entity/Q28979549
"Kanonissenstift, später Benediktinerinnenkloster Eschwege",Point(10.05837187 51.18833453),994,http://www.wikidata.org/entity/Q28979508
"Benediktinerkloster St. Michael, Lüneburg",Point(10.401194 53.249378),934,http://www.wikidata.org/entity/Q28979517
"Benediktinerinnenkloster St. Marien, Gandersheim",Point(10.02835 51.869186),939,http://www.wikidata.org/entity/Q28979227
"Benediktinerkloster St. Peter, Erfurt (zuvor Kollegiatstift)",Point(11.020556 50.978611),1009,http://www.wikidata.org/entity/Q28979504
Benediktinerinnenkloster Krevese,Point(11.690903 52.810124),1170,http://www.wikidata.org/entity/Q28979437
"Ehemaliges Benediktinerkloster, später Schloss Schloßberg 11; 12",Point(12.914945 50.845263),1300,http://www.wikidata.org/entity/Q49334914
Benediktinerinnenkloster Eibingen,Point(7.928056 49.9925),1148,http://www.wikidata.org/entity/Q28977523
"Benediktinerinnenkloster Hagenbusch, Xanten",Point(6.444722 51.658333),1156,http://www.wikidata.org/entity/Q28977755
"Benediktinerkloster St. Peter und Paul, Altenburg/Merseburg",Point(11.98833 51.355),1041,http://www.wikidata.org/entity/Q28977584
Benediktinerinnenkloster Michelstadt-Steinbach,Point(8.9967 49.6875),1179,http://www.wikidata.org/entity/Q28977528
"Benediktinerkloster Johannisberg, Geisenheim",Point(7.983786 49.999664),1106,http://www.wikidata.org/entity/Q28977633
Benediktinerkloster (Bad) Iburg,Point(8.041806 52.157917),1080,http://www.wikidata.org/entity/Q28977576
Benediktinerinnenkloster Blankenau,Point(9.47157 50.54339),1265,http://www.wikidata.org/entity/Q22231184
"Prämonstratenserinnenstift Lauffen, zuvor Benediktinerinnen und Dominikanerinnen",Point(9.15164705 49.07956315),1003,http://www.wikidata.org/entity/Q24045713
"Kanonissenstift Bassum, später Benediktinerinnen",Point(8.723665 52.844778),841,http://www.wikidata.org/entity/Q19309563
Benediktinerabtei Steina,Point(9.931486 51.626149),1100,http://www.wikidata.org/entity/Q28980712
"Zisterzienserinnenkloster Paderborn, später Benediktinerinnen, gen. Gaukirchkloster",Point(8.7563 51.71819),1229,http://www.wikidata.org/entity/Q28982039
Benediktinerinnenkloster Osterholz-Scharmbeck,Point(8.8125 53.224167),1182,http://www.wikidata.org/entity/Q28980401
"Benediktinerinnenkloster Zella, Rhön",Point(10.110222 50.673603),1136,http://www.wikidata.org/entity/Q99748065
Benediktinerkloster Banz,Point(11.001053768 50.132465863),1001,http://www.wikidata.org/entity/Q175500
Benediktinerabtei Münsterschwarzach,Point(10.2317 49.8053),701,http://www.wikidata.org/entity/Q315154
"Benediktinerabtei St. Michael, Siegburg",Point(7.21092 50.7957),1512,http://www.wikidata.org/entity/Q317097
Benediktinerabtei Neuburg,Point(8.74083 49.4189),1101,http://www.wikidata.org/entity/Q334066
"Benediktinerabtei St. Salvator, Prüm",Point(6.425833333 50.206388888),721,http://www.wikidata.org/entity/Q334114
"Benediktinerkloster Niederaltaich, Niederalteich",Point(13.027777777 48.766111111),701,http://www.wikidata.org/entity/Q458116
Benediktinerkloster Kempten,Point(10.313158305 47.728260336),1213,http://www.wikidata.org/entity/Q543840
"Benediktinerkloster/Kollegiatstift St. Michael, Metten",Point(12.918092039 48.855563818),766,http://www.wikidata.org/entity/Q882879
"Benediktinerinnenabtei St. Walburg, Eichstätt",Point(11.1831 48.8957),1074,http://www.wikidata.org/entity/Q1776124
Schloss und Benediktinerabtei Iburg,Point(8.04181 52.1579),1070,http://www.wikidata.org/entity/Q1546997
Benediktinerkloster Michelfeld (Oberpfalz),Point(11.587037406 49.704094783),1119,http://www.wikidata.org/entity/Q1451601
"Benediktinerabtei St. Emmeram, Regensburg",Point(12.092777777 49.015277777),739,http://www.wikidata.org/entity/Q260633
"Benediktinerabtei St. Emmeram, Regensburg",Point(12.092777777 49.015277777),1295,http://www.wikidata.org/entity/Q260633
Benediktinerkloster Cismar,Point(10.985833333 54.19),1201,http://www.wikidata.org/entity/Q1775138
Benediktinerinnenkloster Lüne,Point(10.4222 53.2603),1101,http://www.wikidata.org/entity/Q883054
